ROXY bought at an average of 14,900 mesos.
Kogasa bought at an average of 1,200 mesos.
Accurato bought at an average of 99,999 mesos.
Blackmores bought at an average of 200 mesos.
Invigorator bought at an average of 99,999 mesos.
bOring bought at an average of 99,999 mesos.
Hellchild bought at an average of 119,999 mesos.
Throwin bought at an average of 99,999 mesos.
Ratatosk bought at an average of 52,499 mesos.
ShirkKan bought at an average of 49,999 mesos.
dabeanis bought at an average of 95,000 mesos.
Goldman bought at an average of 50,000 mesos.
Ren0O1 bought at an average of 18,000 mesos.

Nayue bought at an average of 99,999 mesos.
QReborn bought at an average of 95,499 mesos.
Tatcha bought at an average of 9,999 mesos.
imesseduppp bought at an average of 83,332 mesos.
Dieu bought at an average of 99,999 mesos.
NaiveCoww bought at an average of 199,999 mesos.
ITSDomingoa bought at an average of 444,555 mesos.
Rtas¥Vadum bought at an average of 29,999 mesos.
ultrakool bought at an average of 99,999 mesos.
Goldballs bought at an average of 134,999 mesos.
Oceiros bought at an average of 69,999 mesos.
ThePirates bought at an average of 60,000 mesos.
bigGGgo bought at an average of 99,999 mesos.
TonyMontana bought at an average of 199,999 mesos.
AsaFzO bought at an average of 99,999 mesos.
AznFamOuss bought at an average of 99,999 mesos.
Plazma bought at an average of 150,000 mesos.
Fillmore bought at an average of 49,999 mesos.
Buzzing bought at an average of 99,999 mesos.
Zhan bought at an average of 49,999 mesos.
Electrix bought at an average of 99,999 mesos.
Elpis bought at an average of 99,999 mesos.
duchamp bought at an average of 399,999 mesos.
a0aQ bought at an average of 99,999 mesos.

hoff bought at an average of 69,000 mesos.

Jigglelo bought at an average of 1 mesos.
JellySlime bought at an average of 77,77? mesos.
xxmiloxx bought at an average of 12,345 mesos.
CHOVYDAGG bought at an average of 99,999 mesos.
KatanaxX bought at an average of 83,332 mesos.
CyBeRBoT bought at an average of 149,999 mesos.
RQ@QOQ bought at an average of 99,999 mesos.
lsaacsMule bought at an average of 200,000 mesos.
Godzly bought at an average of 75,000 mesos.
Sunni3 bought at an average of 299,999 mesos.
Minako bought at an average of 105,999 mesas.
tobin1 23 bought at an average of 10,000 mesos.
Rotti bought at an average of 50,000 mesos.
Keziah bought at an average of 80,000 mesos.
iStahs bought at an average of 57,777 mesos.
$e bought at an average of 54,999 mesos.
Egiptus bought at an average of 109,999 mesos.
pikaapika bought at an average of 40,000 mesos.
Breloom bought at an average of 99,999 mesos.
Sushiiii bought at an average of 53,944 mesos.
Carta bought at an average of 29,999 mesos.
bluebunny bought at an average of 39,999 mesos.
GoAway bought at an average of 29,999 mesos.
Hiranel bought at an average of 29,999 mesos.
FrostyNips bought at an average of 99,999 mesos.
AceStyle bought at an average of 99,999 mesos.
Shiroll bought at an average of 99,999 mesos.
MonkeyChimp bought at an average of 69,999 mesos.
Pagan bought at an average of 99,999 mesos.
Vanessa bought at an average of 100,000 mesos.
TiILTSY bought at an average of 149,999 mesos.
Brotherj132 bought at an average of 59,999 mesos.
Hauntr bought at an average of 99,999 mesos.
imbatman bought at an average of 174,999 mesos.
Sketchball bought at an average of 99,999 mesos.
Complicated bought at an average of 1,500,000,000
mesos.

Stich bought at an average of 199,999 mesos.
BossKai bought at an average of 100,000 mesos.
Arians bought at an average of 87,499 mesos.
Alevins bought at an average of 199,999 mesos.
Day6 bought at an average of 100,281 mesos.
Ariel bought at an average of 200,000 mesos.
Favorite bought at an average of 159,258 mesos.
Kartoshka bought at an average of 99,999 mesos.
Cipulat bought at an average of 99,999 mesos.
Vweaboo bought at an average of 29,999 mesos.
EZPZPZ bought at an average of 107,577 mesos.
Strongest21 bought at an average of 75,000 mesos.
