purchases.

VwayOfTheDao bought at an average of 285,453 mesos.
iLeKio bought at an average of 799,999 mesos.
Mochipoco bought at an average of 899,999 mesos.
Qhapag bought at an average of 88,888 mesos.
Processes bought at an average of 388,641 mesos.
JoshNL bought at an average of 238,888 mesos.
Ardens bought at an average of 999,999 mesos.
Goldman bought at an average of 130,049 mesos.
absol bought at an average of 99,999 mesos.
jaymik? bought at an average of 166,221 mesos.
Multibag bought at an average of 299,999 mesos.
Aelly bought at an average of 150,000,000 mesos.
Whatvvr0ng96 bought at an average of 548,147 mesos.
Scythen bought at an average of 999,999 mesos.
jujube bought at an average of 507,142 mesos.
xXblackSTAR bought at an average of 99,999 mesos.
ITSDomingoa bought at an average of 999,999 mesos.
Hellena bought at an average of 250,000 mesos.
Swipper bought at an average of 29,999 mesos.
Nayue bought at an average of 99,999 mesos.
Mochiko bought at an average of 99,999 mesos.
NickSaban bought at an average of 999,999 mesos.
InabaTewi bought at an average of 999,999 mesos.
YorigamiJoon bought at an average of 999,999 mesos.
InabaTewi bought at an average of 449,999 mesos.
LittleCold bought at an average of 499,999 mesos.
Oo000 bought at an average of 499,999 mesos.
Meakiai bought at an average of 999 mesos.

Ayceb bought at an average of 605,554 mesos.
Moleculas bought at an average of 300,000 mesos.
ReFlex< bought at an average of 70,403 mesos.
Slander bought at an average of 275,645 mesos.
shuddap bought at an average of 343,230 mesos.
mixter654321 bought at an average of 999,999 mesos.
SandxxBlue bought at an average of 302,754 mesos.
2xcheekedup bought at an average of 999,999 mesos.
Huskar bought at an average of 699,499 mesos.
KatsuKamijo bought at an average of 399,999 mesos.
BlackBalls bought at an average of 599,999 mesos.
BuckyBarnes bought at an average of 499,999 mesos.
iavy bought at an average of 499,999 mesos.
ItsTempo bought at an average of 499,999 mesos.
Destiny bought at an average of 99,999 mesos.
Xia0BOwi3 bought at an average of 327,777 mesos.
Owii bought at an average of 888,888 mesos.

bimothy bought at an average of 274,999 mesos.
Argentarium bought at an average of 500,000 mesos.
TonyMontana bought at an average of 888,888 mesos.
Bamboozle bought at an average of 499,999 mesos.
Gottschalk bought at an average of 999,999 mesos.
s0000b bought at an average of 200,000 mesos.
WinteRRRx3 bought at an average of 409,840 mesos.
BammBamm bought at an average of 499,999 mesos.
martinizl bought at an average of 999,999 mesos.
bandan bought at an average of 999,999 mesos.
CaptainTing bought at an average of 999,999 mesos.
BobTheBear bought at an average of 395,826 mesos.
xlrene bought at an average of 420,999 mesos.
Yorshka bought at an average of 749,999 mesos.
Tergekids bought at an average of 124,999 mesos.
HateFlash bought at an average of 52,777 mesos.
xAnnabelle bought at an average of 137,999 mesos.
Mathiel bought at an average of 999,999 mesos.
Doppio bought at an average of 999,999 mesos.
Cebolinha bought at an average of 150,000 mesos.
SeaxxXBlue bought at an average of 276,189 mesos.
RaeSremmurd bought at an average of 349,999 mesos.
YuYuOw0 bought at an average of 199,999 mesos.
1023 bought at an average of 199,999 mesos.
Aragasta bought at an average of 99,999 mesos.
Nicky bought at an average of 29,999 mesos.

AsaFzO bought at an average of 399,999 mesos.
TizMeAgain bought at an average of 299,999 mesos.
guccigang69 bought at an average of 299,999 mesos.
zNymph bought at an average of 99,999 mesos.
biggodjj bought at an average of 99,999 mesos.
AK4? bought at an average of 737,499 mesos.
Jjangpong bought at an average of 111,111 mesos.
DeathPenalty bought at an average of 233,333 mesos.
SeaBlue bought at an average of 499,999 mesos.
FlamingFart bought at an average of 111,111 mesos.
Diesel2 bought at an average of 439,999 mesos.
monstercat bought at an average of 20,000 mesos.
odile bought at an average of 100,000 mesos.
Jolarius bought at an average of 99,999 mesos.
Sencha bought at an average of 199,999 mesos.
\VwavePapi bought at an average of 333,333 mesos.
