purchases.

SakuraTea bought at an average of 11 mesos.
Notchey bought at an average of 133,332 mesos.
MeowStar bought at an average of 100,000 mesos.
XpBanana bought at an average of 99,999 mesos.
Invigorator bought at an average of 39,444 mesos.
Throwin bought at an average of 99,999 mesos.
LeKio bought at an average of 99,999 mesos.

muri bought at an average of 9,999 mesos.
Celestiani bought at an average of 1,000 mesos.
Goldman bought at an average of 10,000 mesos.
KillerFangx bought at an average of 69,999 mesos.
ITSDomingoa bought at an average of 19,999 mesos.
Swipper bought at an average of 99,999 mesos.
RedSonja bought at an average of 100,000 mesos.
Nayue bought at an average of 50,004 mesos.
Processes bought at an average of 11,111 mesos.
Ennemmy bought at an average of 99,999 mesos.
ZDeadlySinZ bought at an average of 30,000 mesos.
BlackBalls bought at an average of 166,999 mesos.
DragonFIST bought at an average of 50,000 mesos.
bigGGgo bought at an average of 24,999 mesos.
Zuken bought at an average of 75,000 mesos.
TonyMontana bought at an average of 43,000 mesos.
iWWhiteKnight bought at an average of 50,000 mesos.
Cadenivx bought at an average of 19,999 mesos.
Zhan bought at an average of 47,499 mesos.
Tergekids bought at an average of 70,099 mesos.
yAnnabelle bought at an average of 99,999 mesos.
BammBamm bought at an average of 10,000 mesos.
Breathing bought at an average of 99,999 mesos.
VernaH bought at an average of 49,999 mesos.
guccigang69 bought at an average of 79,999 mesos.
Merena bought at an average of 159,999 mesos.
lamTerena bought at an average of 5,999 mesos.
xlrene bought at an average of 99,999 mesos.
ThePrince bought at an average of 66,666 mesos.
AsaFzO bought at an average of 49,999 mesos.
UzumakiClan bought at an average of 49,999 mesos.
Darkside bought at an average of 50,000 mesos.
okOkok bought at an average of 99,999 mesos.
ShAB1 bought at an average of 99,999 mesos.
ohlang bought at an average of 50,000 mesos.
Umbrium bought at an average of 80,000 mesos.
Dian bought at an average of 99,999 mesos.
xJennie bought at an average of 22,222 mesos.
oclock bought at an average of 555,555 mesos.
Poxy bought at an average of 54,999 mesos.
Haterade bought at an average of 19,999 mesos.
PipTazo bought at an average of 1,000 mesos.
YeahitsMe bought at an average of 49,999 mesos.
gwailo bought at an average of 60,000 mesos.

Nyris bought at an average of 39,999 mesos.
DrummerCon bought at an average of 99,999 mesos.
Pinarello bought at an average of 38,888 mesos.
Errow bought at an average of 12,999 mesos.
Hanamiya bought at an average of 22,222 mesos.
Theologian bought at an average of 7,000 mesos.
Beeta bought at an average of 60,000 mesos.
PekpekMabaho bought at an average of 99,999 mesos.
Taljus bought at an average of 19,999 mesos.
bluenubcake bought at an average of 20,000 mesos.
18KmPerHr bought at an average of 11,111 mesos.
bayleef bought at an average of 40,369 mesos.
awefij bought at an average of 49,999 mesos.
SafeThief bought at an average of 27,499 mesos.
Zalzin bought at an average of 50,665 mesos.
lunasea30005 bought at an average of 19,999 mesos.
Shadoword bought at an average of 69,999 mesos.
itsyaboipaul bought at an average of 49,999 mesas.
TheT bought at an average of 41,666 mesos.
Cipulat bought at an average of 41,666 mesos.
imbatman bought at an average of 39,999 mesos.
MissyDolphin bought at an average of 1 mesos.
lanker bought at an average of 9,999 mesos.
LUKily bought at an average of 33,333 mesos.
cilantro bought at an average of 33,333 mesos.
Cipulatlx bought at an average of 39,999 mesos.
CryptoSin bought at an average of 33,333 mesos.
JiNz bought at an average of 50,000 mesos.
INTBOSS bought at an average of 71,110 mesos.
Daedalus bought at an average of 49,999 mesos.
ISuperCool bought at an average of 79,999 mesos.
IANGOD bought at an average of 87,499 mesos.
Daelyinh bought at an average of 1,000 mesos.
AniLOver bought at an average of 49,999 mesos.
luxul bought at an average of 50,000 mesos.
muteGG bought at an average of 19,999 mesos.
