ROXY bought at an average of 872,591 mesos.

Mathiel bought at an average of 249,999 mesos.
\VwayOfTheDao bought at an average of 361,110 mesos.
jaymik? bought at an average of 299,999 mesos.
Notchey bought at an average of 1 mesos.

Goldman bought at an average of 499,999 mesos.
JoshNL bought at an average of 199,999 mesos.
Arugot bought at an average of 199,999 mesos.
Reducto bought at an average of 296,622 mesos.
Karth bought at an average of 999,999 mesos.

Bamf bought at an average of 349,999 mesos.
Cuddle bought at an average of 447,474 mesos.
G3tRekt bought at an average of 174,999 mesos.
JonDouugh bought at an average of 299,999 mesos.
RickC13? bought at an average of 226,666 mesos.
XbowBalls bought at an average of 499,999 mesos.
DonaldDuck bought at an average of 399,999 mesos.
KidCutty bought at an average of 299,999 mesos.
Regal bought at an average of 311,111 mesos.
SilverBalls bought at an average of 219,999 mesos.
buldok bought at an average of 100,000 mesos.
HungryBox bought at an average of 438,888 mesos.
Dit4Life bought at an average of 79,999 mesos.
Charlie bought at an average of 343,030 mesos.
RenRestores bought at an average of 199,999 mesos.
Sharena bought at an average of 29,999 mesos.
iDairy bought at an average of 270,369 mesos.
UnderShadowz bought at an average of 149,999 mesos.
AsaFzO bought at an average of 342,499 mesos.
TapTempo bought at an average of 99,999 mesos.
JohnxD bought at an average of 99,999 mesos.

jumi bought at an average of 279,628 mesos.

Electrix bought at an average of 54,999 mesos.

Elpis bought at an average of 249,999 mesos.
Keystone bought at an average of 124,999 mesos.
Spherical bought at an average of 111,111 mesos.
iRolex bought at an average of 59,999 mesos.
TomShelby bought at an average of 333,333 mesos.
Rena bought at an average of 199,999 mesos.
duchamp bought at an average of 124,721 mesos.
JellySlime bought at an average of 99,999 mesos.
AnnBae bought at an average of 29,999 mesos.
ddinn bought at an average of 99,999 mesos.
NCKUGoalden bought at an average of 99,999 mesos.
zNymph bought at an average of 99,999 mesos.
guccigang69 bought at an average of 33,333 mesos.
Perceptual bought at an average of 499,999 mesos.
PeanutHead bought at an average of 199,999 mesos.
notouchie bought at an average of 399,999 mesos.
iLuyDino bought at an average of 233,332 mesos.
AssClown bought at an average of 149,999 mesos.
logan bought at an average of 364,971 mesos.
Bish4it bought at an average of 359,976 mesos.
afosho bought at an average of 499,999 mesos.
HoHiyoyoyo bought at an average of 299,999 mesos.
xRatatosk bought at an average of 366,666 mesos.
MochiStory bought at an average of 549,999 mesos.
soot bought at an average of 399,999 mesos.
CaokuiDiao bought at an average of 112,249 mesos.
iamgroot bought at an average of 48,999 mesos.
Thicsquare bought at an average of 99,999 mesos.
MegaPotion bought at an average of 99,999 mesos.
hoff bought at an average of 99,999 mesos.
OresStorage bought at an average of 49,999 mesos.
Droner bought at an average of 99,999 mesos.
TedPace bought at an average of 184,567 mesos.
Hurry bought at an average of 149,999 mesos.
LangS bought at an average of 12,345 mesos.
Accent bought at an average of 19,999 mesos.

eggg bought at an average of 249,999 mesos.
YouLoveMe bought at an average of 19,999 mesos.
Donate bought at an average of 777,777 mesos.
KatanaxX bought at an average of 323,456 mesos.
kanghodong bought at an average of 877,777 mesos.
soxsoo bought at an average of 111,111 mesos.
Banished bought at an average of 499,999 mesos.
rayus bought at an average of 99,999 mesos.
AhBao bought at an average of 85,184 mesos.
Sary bought at an average of 500,000 mesos.

Fail bought at an average of 394,443 mesos.
xAssasinz bought at an average of 249,999 mesos.
GoGoDisco bought at an average of 10,000 mesos.
Nerijus bought at an average of 449,999 mesos.
Azarael bought at an average of 150,000 mesos.
Envy bought at an average of 299,999 mesos.
Minako bought at an average of 537,499 mesos.
BobBob bought at an average of 233,332 mesos.
