purchases.

Orca42 bought at an average of 233,749 mesos.
Rawshark bought at an average of 299,999 mesos.
OsamaBird bought at an average of 226,666 mesos.
kingBartho bought at an average of 400,000 mesos.
SinnSinn bought at an average of 444,444 mesos.
JustDieu bought at an average of 79,443 mesos.
Sixer bought at an average of 39,999 mesos.

Arthifix bought at an average of 39,999 mesos.
DeathCoast bought at an average of 103,332 mesos.
Comfie bought at an average of 499,999 mesos.
iLeKio bought at an average of 249,999 mesos.
MightyHeal bought at an average of 141,151 mesos.
Valkyria bought at an average of 99,999 mesos.

myes bought at an average of 49,999 mesos.

VicBrud bought at an average of 266,666 mesos.
SociallyJust bought at an average of 77,777 mesos.
CoelhoMaluco bought at an average of 524,999 mesos.
DaveDaBrayve bought at an average of 124,999 mesos.
Goldman bought at an average of 128,888 mesos.
Invigorator bought at an average of 93,332 mesos.
SoldadoNego bought at an average of 299,999 mesos.
Yvon bought at an average of 599,999 mesos.
PBY¥ss bought at an average of 199,999 mesos.
Acora bought at an average of 499,999 mesos.
DITo bought at an average of 912,499 mesos.
Ratatosk bought at an average of 99,999 mesos.
Jeehs bought at an average of 299,999 mesos.
Inglorious bought at an average of 249,999 mesos.
InsanET bought at an average of 99,999 mesos.
Shinjuku bought at an average of 327,777 mesos.
Surr bought at an average of 99,999 mesos.
LeKio bought at an average of 350,000 mesos.
Dieu bought at an average of 199,999 mesos.
Yena bought at an average of 199,999 mesos.
Carl10 bought at an average of 99,999 mesos.
Itatrollito bought at an average of 166,665 mesos.
VWihatvvr0ng96 bought at an average of 198,570 mesos.
Octavius bought at an average of 137,799 mesos.
BigBootyLuy bought at an average of 99,999 mesos.
Flay bought at an average of 114,999 mesos.
dabeanis bought at an average of 129,999 mesos.
ADshop bought at an average of 149,999 mesos.
Mightyime bought at an average of 174,999 mesos.
vSoSyv bought at an average of 165,277 mesos.
COFFEE bought at an average of 110,000 mesos.
LanceZ bought at an average of 149,999 mesos.
zenoh bought at an average of 79,999 mesos.
I3areKnuckle bought at an average of 99,999 mesos.
Masi bought at an average of 99,999 mesas.
BoredDabs bought at an average of 99,999 mesos.
Thief2467 bought at an average of 91,665 mesos.
ReFlex< bought at an average of 54,999 mesos.
RickC13? bought at an average of 190,009 mesos.
I3akaZoro bought at an average of 89,000 mesos.
DarkSight bought at an average of 99,999 mesos.
HeroSlayer bought at an average of 99,999 mesos.
AndrewHuang bought at an average of 100,000 mesos.
Alevins bought at an average of 99,999 mesos.
CarlyRae bought at an average of 69,999 mesos.
moOtOn bought at an average of 99,999 mesos.
InabaTewi bought at an average of 96,666 mesos.
Processes bought at an average of 111,111 mesos.
Multibag bought at an average of 12,345 mesos.
NewDart bought at an average of 29,999 mesos.
crabahy bought at an average of 272,221 mesos.
Porrancio bought at an average of 161,728 mesos.
Davina bought at an average of 107,040 mesos.
Ultralnstine bought at an average of 80,000 mesos.
lceHeart bought at an average of 99,999 mesos.
Mangolier bought at an average of 109,999 mesos.
Hamaliel bought at an average of 100,000 mesos.
Ayceb bought at an average of 233,332 mesos.
mixter654321 bought at an average of 500,000 mesos.
Killnitt bought at an average of 500,000 mesos.
Kiivipillu bought at an average of 199,999 mesos.
ThiBR1 bought at an average of 99,999 mesos.
RamiLevi bought at an average of 129,999 mesos.
Pickaxe bought at an average of 65,955 mesos.
Joeppa bought at an average of 99,999 mesos.
SilverBalls bought at an average of 159,999 mesos.
LilSeaOtter bought at an average of 559,999 mesos.
MagicPowPow bought at an average of 166,665 mesos.
Thule bought at an average of 199,999 mesos.
OneLeg bought at an average of 200,000 mesos.
FaelzinRj bought at an average of 233,999 mesos.
Zarkes bought at an average of 160,000 mesos.
ItsTempo bought at an average of 221,110 mesos.
