!0lSomi bought at an average of 1,208,171 mesos.
Qhapag bought at an average of 845,644 mesos.
Cocoa bought at an average of 1,999,999 mesos.
OsamaBird bought at an average of 124,999 mesos.
Sixer bought at an average of 833,554 mesos.
Charlie bought at an average of 1,609,899 mesos.
Ranch bought at an average of 1,272,289 mesos.
Taicho bought at an average of 299,999 mesos.
Ueno bought at an average of 299,999 mesos.
Invigorator bought at an average of 424,999 mesos.
geniusdude bought at an average of 899,999 mesos.
BrainSpoilt bought at an average of 1,166,666 mesos.
invoked bought at an average of 999,999 mesos.
WwayOfTheDao bought at an average of 968,048 mesos.
xBrandon bought at an average of 1,499,999 mesos.
DunCallmePro bought at an average of 999,999 mesos.
NOtdavid bought at an average of 1,070,369 mesos.
Ratatosk bought at an average of 774,110 mesos.

Pail bought at an average of 999,999 mesos.
CallMeKing bought at an average of 1,531,014 mesos.
iSpamHeal bought at an average of 1,299,999 mesos.
Nahu bought at an average of 800,000 mesos.
illuding bought at an average of 999,999 mesos.
Exquisity bought at an average of 180,000 mesos.
Inglorious bought at an average of 10,000 mesos.
Shinjuku bought at an average of 999,999 mesos.
Alicemi bought at an average of 852,058 mesos.
kAyote bought at an average of 649,999 mesos.

Binky bought at an average of 899,999 mesos.
ChefBoyRD bought at an average of 1,499,999 mesos.
TonyMike55 bought at an average of 766,666 mesos.
Rafiki bought at an average of 999,999 mesos.
NotPhased bought at an average of 1,000,000 mesos.
JoshNL bought at an average of 944,444 mesos.
jaymik? bought at an average of 1,710,316 mesos.
sadist bought at an average of 599,999 mesos.
Diesel2 bought at an average of 1,149,999 mesos.
Humility bought at an average of 999,999 mesos.
Bloodlust bought at an average of 1,201,388 mesos.
XDrknight bought at an average of 992,856 mesos.
iRolex bought at an average of 1,249,999 mesos.
LutizTY bought at an average of 1,949,999 mesos.
CarlyRae bought at an average of 818,980 mesos.
logan bought at an average of 1,011,110 mesos.
Goldman bought at an average of 274,999 mesos.
Bamf bought at an average of 1,319,444 mesos.
Zekee bought at an average of 1,555,555 mesos.
Pail bought at an average of 1,414,382 mesos.
DITo bought at an average of 1,499,999 mesos.
deBruyne bought at an average of 999,943 mesos.
SquiddieM bought at an average of 1,499,999 mesos.
littleC bought at an average of 999,999 mesos.
Gluten bought at an average of 45,000,000 mesos.
ShutUp bought at an average of 1,499,999 mesos.
Cidermule bought at an average of 999,999 mesos.
bandan bought at an average of 750,000 mesos.
Alexbighead bought at an average of 300,000 mesos.
SandxxXBlue bought at an average of 1,333,332 mesos.
Orez bought at an average of 999,999 mesos.
melonlord bought at an average of 2,712,120 mesos.
BamBamBamBam bought at an average of 900,000
mesos.

CallMeBS bought at an average of 2,376,431 mesos.
Tatoe bought at an average of 999,999 mesos.
Meakiai bought at an average of 300,000 mesos.
Tatcha bought at an average of 499,999 mesos.
Basement bought at an average of 1,743,433 mesos.
Alevins bought at an average of 499,999 mesos.
Morg bought at an average of 888,888 mesos.
Destiny bought at an average of 2,133,232 mesos.
Dieu bought at an average of 1,499,999 mesos.
dumbNbored bought at an average of 1,099,999 mesos.
Young bought at an average of 1,799,999 mesos.
Fray bought at an average of 2,039,999 mesos.
Sacha bought at an average of 978,221 mesos.
JesseSnow bought at an average of 1,524,999 mesos.
XbowBalls bought at an average of 2,102,019 mesos.
RewedxX bought at an average of 500,000 mesos.
Yomii bought at an average of 1,999,999 mesos.
Tapiogorgor bought at an average of 100,000 mesos.
PinkPeach bought at an average of 1,999,999 mesos.
Mathiel bought at an average of 1,498,999 mesos.
Carta bought at an average of 624,999 mesos.

Farm bought at an average of 999,999 mesos.

sopan bought at an average of 999,999 mesos.
annabelle bought at an average of 4,999,999 mesos.
No9529 bought at an average of 2,000,000 mesos.
