Rikco bought at an average of 89,551 mesos.
Shinjuku bought at an average of 205,555 mesos.
Humility bought at an average of 98,332 mesos.
iLeechMyself bought at an average of 228,570 mesos.
HeyyClouds bought at an average of 99,999 mesos.
Patchface bought at an average of 174,999 mesos.
kingBartho bought at an average of 399,999 mesos.
BiteAnApple bought at an average of 399,999 mesos.
milo1 234 bought at an average of 99,999 mesos.
Blackmores bought at an average of 99,999 mesos.
HiChris bought at an average of 66,666 mesos.
ChaoJiMao bought at an average of 106,324 mesos.
Nercader bought at an average of 2,000 mesos.
NIGHTOFMOON bought at an average of 500,000 mesos.
iFairytaleXD bought at an average of 134,443 mesos.
Skills bought at an average of 81,864 mesos.
HarGow bought at an average of 50,000 mesos.
DeFreitas bought at an average of 105,959 mesos.
MuadDib bought at an average of 233,325 mesos.
Gobo bought at an average of 184,443 mesos.
HeoHeo bought at an average of 99,999 mesos.
geniusdude bought at an average of 249,999 mesos.
invoked bought at an average of 299,999 mesos.
myes bought at an average of 10,000 mesos.
DeathCoast bought at an average of 99,999 mesos.
ILUVCHOCOPIE bought at an average of 199,999 mesos.
Rocus bought at an average of 226,851 mesos.
Sunfury bought at an average of 99,999 mesos.
Sixer bought at an average of 217,999 mesos.
Goldman bought at an average of 132,691 mesos.
sadist bought at an average of 188,888 mesos.
iSpamHeal bought at an average of 220,184 mesos.
Balmung42 bought at an average of 248,888 mesos.
ZapZapZap bought at an average of 1 mesos.
PleaseNo bought at an average of 99,999 mesos.
MrChubby bought at an average of 599,999 mesos.
Carl10 bought at an average of 399,999 mesos.
Taicho bought at an average of 149,999 mesos.
Landowunda bought at an average of 299,999 mesos.
Invigorator bought at an average of 145,999 mesos.
SwakMagi bought at an average of 99,999 mesos.
lucid bought at an average of 99,999 mesos.
BobBob bought at an average of 207,935 mesos.
Werewolf bought at an average of 229,999 mesos.
Jurassic bought at an average of 299,999 mesos.
Ratatosk bought at an average of 34,999 mesos.
SojuBomb bought at an average of 222,222 mesos.
CarlyRae bought at an average of 49,999 mesos.
KillerF angx bought at an average of 318,665 mesos.
iRolex bought at an average of 87,199 mesos.
Qhapagq bought at an average of 247,591 mesos.
Lampiao bought at an average of 282,561 mesas.
SquiddieM bought at an average of 399,999 mesos.
MaiPianxia bought at an average of 499,999 mesos.
FieryFury bought at an average of 299,999 mesos.
oborosan bought at an average of 749,999 mesos.
Burden bought at an average of 392,222 mesos.
MoonSun bought at an average of 54,999 mesos.
Orez bought at an average of 98,161 mesos.
pidaras bought at an average of 88,888 mesos.

Dali bought at an average of 82,499 mesos.
Riceee bought at an average of 189,999 mesos.
Toran bought at an average of 149,999 mesos.
Restayu bought at an average of 1 mesos.

Kirren bought at an average of 59,999 mesos.
Amada bought at an average of 1 mesos.

Harlez bought at an average of 90,000 mesos.
HarleyEllis bought at an average of 199,999 mesos.
Riss bought at an average of 179,993 mesos.
mage21785 bought at an average of 97,846 mesos.
Mage2467 bought at an average of 249,999 mesos.
Yomii bought at an average of 127,392 mesos.
Harmony bought at an average of 349,999 mesos.
Meakiai bought at an average of 49,999 mesos.
Destiny bought at an average of 68,425 mesos.
Melodic bought at an average of 299,999 mesos.
Lachowskii bought at an average of 412,925 mesos.
Silly bought at an average of 49,999 mesos.
Basement bought at an average of 69,999 mesos.
Dahntahn bought at an average of 133,332 mesos.
imesseduppp bought at an average of 199,999 mesos.
EvONNE bought at an average of 149,999 mesos.
LIMEx bought at an average of 341,460 mesos.

Dieu bought at an average of 192,928 mesos.
Plazma bought at an average of 157,204 mesos.
Jkieuw bought at an average of 250,199 mesos.
Fray bought at an average of 121,415 mesos.
