100 purchases.

!0lSomi bought at an average of 183,332 mesos.
Goldman bought at an average of 42,499 mesos.
vSoSyv bought at an average of 396,295 mesos.
Backwoods bought at an average of 49,999 mesos.
Qhapag bought at an average of 4,444 mesos.
CarlyRae bought at an average of 29,999 mesos.
Amada bought at an average of 150,000 mesos.
xKuroX bought at an average of 116,665 mesos.
Nayue bought at an average of 100,000 mesos.
Yuhen bought at an average of 130,832 mesos.
Grammar bought at an average of 99,999 mesos.
TonyMike55 bought at an average of 107,272 mesos.
Anjuna bought at an average of 50,000 mesos.
TedPace bought at an average of 224,999 mesos.
Yorshka bought at an average of 390,499 mesos.
Jjangpong bought at an average of 51,021 mesos.
BuckyBarnes bought at an average of 100,199 mesos.
MarcelPrylmz bought at an average of 49,999 mesos.
MeOwkK3Rm bought at an average of 99,999 mesos.
TonyMontana bought at an average of 99,999 mesos.
Karth bought at an average of 149,999 mesos.
KazumakKazuma bought at an average of 99,999 mesos.
ChunkieBlade bought at an average of 299,999 mesos.
Pickaxe bought at an average of 50,000 mesos.
DrXenonBloom bought at an average of 238,749 mesos.
Xia0BOwi3 bought at an average of 58,055 mesos.
PubeSent bought at an average of 166,295 mesos.
Tenebra bought at an average of 161,110 mesos.
DICKHEAD bought at an average of 149,999 mesos.
driedair bought at an average of 20,000 mesos.
jrchicken bought at an average of 248,610 mesos.
ImKiba bought at an average of 316,913 mesas.
dospukalips2 bought at an average of 219,999 mesos.
guccigang69 bought at an average of 649,999 mesos.
BoeingBucc bought at an average of 31,172 mesos.
Nicky bought at an average of 254,452 mesas.
HuaPing bought at an average of 1 mesos.

PENIS bought at an average of 50,000 mesos.
Lawwence bought at an average of 299,999 mesos.
Hakh bought at an average of 733,332 mesos.
flatearther bought at an average of 330,554 mesos.
xH3r0Crabx bought at an average of 299,999 mesos.
flatearther2 bought at an average of 234,567 mesos.
ChaosFire bought at an average of 49,999 mesos.
Jolarius bought at an average of 89,444 mesos.
Getsuga bought at an average of 299,999 mesos.
Nakiro bought at an average of 64,999 mesos.
SauceGod bought at an average of 249,999 mesos.
CAPS bought at an average of 399,999 mesos.
Haise bought at an average of 34,999 mesos.
CupNoodles bought at an average of 199,999 mesos.
Exifur bought at an average of 174,999 mesos.
sandbag bought at an average of 188,888 mesos.
Richard504 bought at an average of 100,000 mesos.
Alevins bought at an average of 5,000 mesos.
Combustion bought at an average of 135,554 mesos.
DadaLZC bought at an average of 55,555 mesos.
Spectre bought at an average of 34,999 mesos.

Stole bought at an average of 19,999 mesos.
Newbss bought at an average of 99,999 mesos.
antidriod bought at an average of 179,999 mesos.
VWweix1 ao bought at an average of 186,456 mesos.
Hammy bought at an average of 11,111 mesos.
Schinz bought at an average of 599,999 mesos.
Newbs bought at an average of 166,665 mesos.
Juicetin bought at an average of 99,999 mesos.
LeonHeart bought at an average of 1 mesos.

Soyk bought at an average of 299,999 mesos.
HerDefeat bought at an average of 287,499 mesos.
Painful bought at an average of 999 mesos.
Tsubasai0 bought at an average of 50,999 mesos.
XiaoHe bought at an average of 199,999 mesos.
Helheim bought at an average of 189,999 mesos.
DOrkKnoche bought at an average of 299,999 mesos.
UnoaCaso bought at an average of 239,999 mesos.
midget bought at an average of 199,999 mesos.
BbBarbarian bought at an average of 94,999 mesos.
Kabal bought at an average of 50,999 mesos.
BayAreaJohn bought at an average of 116,666 mesos.
Sayume bought at an average of 94,443 mesos.
SeaxxBlue bought at an average of 9 mesos.

Leet bought at an average of 84,999 mesos.

Clothes bought at an average of 199,999 mesos.
INTBOSS bought at an average of 49,999 mesos.
SavedUrvife bought at an average of 99,999 mesos.
SLJackson bought at an average of 100,000 mesos.
KoniSama bought at an average of 109,999 mesos.
