purchases.

TeamLeader bought at an average of 55,555 mesos.
tofuhead bought at an average of 97,221 mesos.
latrgatr bought at an average of 102,856 mesos.
TLDoublelift bought at an average of 84,949 mesos.
DeathCoast bought at an average of 90,368 mesos.
Quickly bought at an average of 99,999 mesos.
VicBrud bought at an average of 207,580 mesos.
RealBusiness bought at an average of 99,999 mesos.
Killbasa bought at an average of 149,999 mesos.
DanSnow bought at an average of 99,999 mesos.
Multibag bought at an average of 72,221 mesos.
Sixer bought at an average of 63,808 mesos.

Menno bought at an average of 99,999 mesos.
BishopDave bought at an average of 111,111 mesos.
Timenvw bought at an average of 99,994 mesos.
Comfie bought at an average of 86,329 mesos.
yAlakazam bought at an average of 122,848 mesos.
OsamaBird bought at an average of 69,999 mesos.
LOVE bought at an average of 97,777 mesos.

Taicho bought at an average of 60,000 mesos.
BangooMan bought at an average of 999,999 mesos.
DaltrinSin bought at an average of 99,990 mesos.
iLeKio bought at an average of 240,740 mesos.
ChiefPapaya bought at an average of 141,946 mesos.
seebri bought at an average of 99,999 mesos.
PlaidShorts bought at an average of 99,990 mesos.
Pyschotic bought at an average of 99,999 mesos.
xAris bought at an average of 299,999 mesos.
ImAMage bought at an average of 74,999 mesos.
LycheeTea bought at an average of 99,999 mesos.
Sasu bought at an average of 86,665 mesos.
ChingJ35us bought at an average of 499,999 mesos.
Hellchild bought at an average of 94,443 mesos.
SociallyJust bought at an average of 99,999 mesos.
Orca42 bought at an average of 449,999 mesos.
ArdhaSkoefoe bought at an average of 88,888 mesos.
Acora bought at an average of 99,999 mesos.
LONGINT bought at an average of 47,777 mesos.
CDog bought at an average of 99,999 mesos.
chuchy bought at an average of 126,665 mesos.
Universal bought at an average of 1,533,332 mesos.
BluePanda bought at an average of 99,999 mesos.
Knuppel bought at an average of 99,999 mesos.
Lascivious bought at an average of 99,999 mesos.
kingBartho bought at an average of 133,333 mesos.
JanitorlIRL bought at an average of 99,999 mesos.
G2g2Sleep bought at an average of 99,999 mesos.
Accurato bought at an average of 99,999 mesos.
Deucalion bought at an average of 274,999 mesos.
Takuro bought at an average of 99,999 mesos.
Calfreezy bought at an average of 117,221 mesos.
TooHigh bought at an average of 99,999 mesos.
oOHOo bought at an average of 99,999 mesas.
BiteAnApple bought at an average of 151,995 mesos.
MuadDib bought at an average of 199,999 mesos.
thottyHoe bought at an average of 130,369 mesos.
SoulHunter bought at an average of 99,999 mesos.
ChingJ3sus bought at an average of 149,999 mesos.
Behanger bought at an average of 199,999 mesos.
Ice4Life bought at an average of 113,896 mesos.
Carbs bought at an average of 47,802 mesos.
HeoHeo bought at an average of 79,999 mesos.
MitBui bought at an average of 399,999 mesos.
SakumaDrops bought at an average of 99,999 mesos.
IKiritol bought at an average of 324,999 mesos.
DaveDaBrave bought at an average of 154,474 mesos.
JoshNL bought at an average of 3,938,888 mesos.
xRatatosk bought at an average of 49,999 mesos.
Edgek bought at an average of 144,443 mesos.
MrChubb bought at an average of 199,999 mesos.
xBlackrose bought at an average of 89,999 mesos.
VwayOfTheDao bought at an average of 99,999 mesos.
AssMilk bought at an average of 206,249 mesos.
invoked bought at an average of 200,000 mesos.
myes bought at an average of 299,999 mesos.
Inglorious bought at an average of 194,443 mesos.
JerryH bought at an average of 126,851 mesos.
KingDylon bought at an average of 399,999 mesos.
XDrknight bought at an average of 99,999 mesos.
Hotswap bought at an average of 99,999 mesos.
BlueMarle bought at an average of 131,665 mesos.
LordSumo bought at an average of 231,266 mesos.
Florenceee bought at an average of 199,999 mesos.
Atheist bought at an average of 849,999 mesos.
5MPerS bought at an average of 199,999 mesos.
MINIohMinneh bought at an average of 220,276 mesos.
HEMBER bought at an average of 69,999 mesos.
